,Restaurant,Location,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
0,ID_6321,"FTI College, Law College Road, Pune",Pune,"Fast Food, Rolls, Burger, Salad, Wraps",200,50,3.5,12,4,30
1,ID_2882,"Sector 3, Marathalli",Bangalore,"Ice Cream, Desserts",100,50,3.5,11,4,30
2,ID_1595,Mumbai Central,Mumbai,"Italian, Street Food, Fast Food",150,50,3.6,99,30,65
3,ID_5929,"Sector 1, Noida",Noida,"Mughlai, North Indian, Chinese",250,99,3.7,176,95,30
4,ID_6123,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Cafe, Beverages",200,99,3.2,521,235,65
5,ID_5221,"Rmz Centennial, I Gate, Whitefield",Bangalore,"South Indian, North Indian, Chinese",150,50,3.8,46,18,30
6,ID_3777,Mumbai Central,Mumbai,"Beverages, Fast Food",150,50,3.7,108,31,30
7,ID_745,Delhi University-GTB Nagar,Delhi,"Chinese, Thai, Asian",650,50,4.0,1731,1235,45
8,ID_2970,Delhi University-GTB Nagar,Delhi,"Mithai, Street Food",100,50,3.9,110,26,30
9,ID_3474,"Sector 1, Noida",Noida,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",200,50,3.9,562,294,65
10,ID_5159,Mumbai Central,Mumbai,"North Indian, Chinese, Mughlai",350,50,3.8,186,61,30
11,ID_1696,"Yerawada, Pune, Maharashtra",Pune,"Chinese, Thai, Indonesian, Italian",800,50,4.2,1693,1239,45
12,ID_1156,"Sector 1, Noida",Noida,"Burger, Fast Food, Desserts, Beverages",150,50,-,-,-,30
13,ID_354,Delhi University-GTB Nagar,Delhi,Beverages,50,0,3.8,184,128,45
14,ID_6891,"Delhi Administration Flats, Timarpur",Delhi,Fast Food,100,50,3.5,23,5,30
15,ID_6406,"Moulali, Kolkata",Kolkata,"Biryani, Mughlai",100,50,3.6,353,53,30
16,ID_2141,"Sector 1, Noida",Noida,Italian,100,50,-,-,-,30
17,ID_3355,"Dockyard Road, Mumbai CST Area",Mumbai,"Chinese, North Indian, South Indian, Fast Food",200,50,3.7,139,47,30
18,ID_5262,Pune University,Pune,"Kerala, Bihari",150,50,-,-,-,30
19,ID_8148,"Gora Bazar, Rajbari, North Dumdum, Kolkata",Kolkata,South Indian,100,50,3.7,159,46,30
20,ID_1681,"D-Block, Sector 63, Noida",Noida,"Chinese, North Indian, Rolls, Momos",200,99,2.8,67,23,45
21,ID_3994,"Sector 14, Noida",Noida,"North Indian, Rolls",150,50,3.9,387,160,45
22,ID_4012,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",250,50,3.0,5,2,30
23,ID_240,"D-Block, Sector 63, Noida",Noida,"Biryani, North Indian",200,99,3.7,138,26,65
24,ID_4751,"Sector 3, Marathalli",Bangalore,"North Indian, Chinese, Fast Food",150,50,3.2,4,1,30
