,Restaurant,Location,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Count Cuisine,Delivery_Time
0,ID_6321,"FTI College, Law College Road, Pune",Pune,"Fast Food, Rolls, Burger, Salad, Wraps",200.0,50,3.5,12.0,4.0,5,30.0
1,ID_2882,"Sector 3, Marathalli",Bangalore,"Ice Cream, Desserts",100.0,50,3.5,11.0,4.0,2,30.0
2,ID_1595,Mumbai Central,Mumbai,"Italian, Street Food, Fast Food",150.0,50,3.6,99.0,30.0,3,65.0
3,ID_5929,"Sector 1, Noida",Noida,"Mughlai, North Indian, Chinese",250.0,99,3.7,176.0,95.0,3,30.0
4,ID_6123,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Cafe, Beverages",200.0,99,3.2,521.0,235.0,2,65.0
5,ID_5221,"Rmz Centennial, I Gate, Whitefield",Bangalore,"South Indian, North Indian, Chinese",150.0,50,3.8,46.0,18.0,3,30.0
6,ID_3777,Mumbai Central,Mumbai,"Beverages, Fast Food",150.0,50,3.7,108.0,31.0,2,30.0
7,ID_745,Delhi University-GTB Nagar,Delhi,"Chinese, Thai, Asian",650.0,50,4.0,1731.0,1235.0,3,45.0
8,ID_2970,Delhi University-GTB Nagar,Delhi,"Mithai, Street Food",100.0,50,3.9,110.0,26.0,2,30.0
9,ID_3474,"Sector 1, Noida",Noida,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",200.0,50,3.9,562.0,294.0,6,65.0
10,ID_5159,Mumbai Central,Mumbai,"North Indian, Chinese, Mughlai",350.0,50,3.8,186.0,61.0,3,30.0
11,ID_1696,"Yerawada, Pune, Maharashtra",Pune,"Chinese, Thai, Indonesian, Italian",800.0,50,4.2,1693.0,1239.0,4,45.0
12,ID_1156,"Sector 1, Noida",Noida,"Burger, Fast Food, Desserts, Beverages",150.0,50,3.6,63.0,26.0,4,30.0
13,ID_354,Delhi University-GTB Nagar,Delhi,Beverages,50.0,0,3.8,184.0,128.0,1,45.0
14,ID_6891,"Delhi Administration Flats, Timarpur",Delhi,Fast Food,100.0,50,3.5,23.0,5.0,1,30.0
15,ID_6406,"Moulali, Kolkata",Kolkata,"Biryani, Mughlai",100.0,50,3.6,353.0,53.0,2,30.0
16,ID_2141,"Sector 1, Noida",Noida,Italian,100.0,50,3.6,63.0,26.0,1,30.0
17,ID_3355,"Dockyard Road, Mumbai CST Area",Mumbai,"Chinese, North Indian, South Indian, Fast Food",200.0,50,3.7,139.0,47.0,4,30.0
18,ID_5262,Pune University,Pune,"Kerala, Bihari",150.0,50,3.6,63.0,26.0,2,30.0
19,ID_8148,"Gora Bazar, Rajbari, North Dumdum, Kolkata",Kolkata,South Indian,100.0,50,3.7,159.0,46.0,1,30.0
20,ID_1681,"D-Block, Sector 63, Noida",Noida,"Chinese, North Indian, Rolls, Momos",200.0,99,2.8,67.0,23.0,4,45.0
21,ID_3994,"Sector 14, Noida",Noida,"North Indian, Rolls",150.0,50,3.9,387.0,160.0,2,45.0
22,ID_4012,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",250.0,50,3.0,5.0,2.0,2,30.0
23,ID_240,"D-Block, Sector 63, Noida",Noida,"Biryani, North Indian",200.0,99,3.7,138.0,26.0,2,65.0
24,ID_4751,"Sector 3, Marathalli",Bangalore,"North Indian, Chinese, Fast Food",150.0,50,3.2,4.0,1.0,3,30.0
25,ID_4944,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Desserts, Ice Cream",100.0,50,3.6,63.0,26.0,2,45.0
26,ID_7029,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",100.0,99,3.7,110.0,38.0,2,45.0
27,ID_6769,Mumbai Central,Mumbai,"Fast Food, South Indian, Street Food",150.0,50,3.2,15.0,9.0,3,45.0
28,ID_5547,"Dockyard Road, Mumbai CST Area",Mumbai,North Indian,150.0,50,3.3,44.0,19.0,1,45.0
29,ID_1957,"Sector 1, Noida",Noida,"North Indian, Chinese",200.0,50,3.8,18.0,18.0,2,30.0
30,ID_425,"Gora Bazar, Rajbari, North Dumdum, Kolkata",Kolkata,North Indian,150.0,50,3.2,18.0,7.0,1,30.0
31,ID_4965,"D-Block, Sector 63, Noida",Noida,"Cafe, Mexican, Japanese, Italian, Chinese",400.0,50,4.0,189.0,132.0,5,30.0
32,ID_5192,"FTI College, Law College Road, Pune",Pune,"Bakery, Fast Food, Rolls, Beverages",200.0,50,3.1,279.0,74.0,4,45.0
33,ID_6079,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",350.0,99,3.3,22.0,13.0,2,45.0
34,ID_3069,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100.0,50,4.0,581.0,111.0,1,30.0
35,ID_1160,"Sector 1, Noida",Noida,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",600.0,50,4.7,914.0,499.0,8,45.0
36,ID_4494,Pune University,Pune,Street Food,100.0,50,3.4,23.0,7.0,1,30.0
37,ID_2139,"Moulali, Kolkata",Kolkata,"Fast Food, South Indian",100.0,50,3.6,105.0,53.0,2,30.0
38,ID_332,Delhi University-GTB Nagar,Delhi,"Pizza, Fast Food",200.0,50,3.5,305.0,29.0,2,45.0
39,ID_1209,"Tiretti, Kolkata",Kolkata,"Cafe, Desserts",300.0,50,3.6,54.0,34.0,2,30.0
40,ID_5285,"Sandhurst Road, Mumbai CST Area",Mumbai,"Mughlai, North Indian",200.0,50,4.0,1408.0,851.0,2,45.0
41,ID_7544,Mumbai Central,Mumbai,"Desserts, Beverages",150.0,50,4.1,806.0,513.0,2,45.0
